Timestamp fo ptCloud: 1659480869.008339
3.1525821685791016, -40.5145263671875
0.0, 0.0
1.6530389308438418e-39, 0.0
0.0, 11.0
-3.0459578037261963, -37.14741516113281
0.0, 0.0
1.744874427001833e-39, 0.0
0.0, 16.0
4.546506881713867, -34.13248825073242
0.0, 0.0
1.744874427001833e-39, 0.0
0.0, 14.0
-0.7519054412841797, -31.283470153808594
0.0, 0.0
1.744874427001833e-39, 0.0
0.0, 25.0
-1.59408438205719, -30.853151321411133
0.0, 0.0
1.744874427001833e-39, 0.0
0.0, 21.0
-2.848264217376709, -30.035856246948242
0.0, 0.0
1.744874427001833e-39, 0.0
0.0, 16.5
-3.3652572631835938, -29.669723510742188
0.0, 0.0
1.8367099231598242e-39, 0.0
0.0, 32.0
8.484254837036133, -27.11394500732422
0.0, 0.0
2.0203809154758067e-39, 0.0
0.0, 14.0
7.6157917976379395, -15.213888168334961
0.0, 0.0
